m,3390,888,2255,8290,8488,6177,6449,10145,5499,2737,4904,4418,0,0,0,0,0,0,0,0
e,8444,6317,7555,9199,5324,7930,8519,5306,10025,4510,3176,0,0,0,0,0,0,0,0,0
e,7041,158,9614,9743,6017,2114,8335,3136,9894,4943,5951,3757,0,0,0,0,0,0,0,0
b,6828,7356,7254,1888,3586,1300,5790,1301,7231,0,0,0,0,0,0,0,0,0,0,0
b,6797,9142,8566,4081,7304,3406,6209,9704,681,270,0,0,0,0,0,0,0,0,0,0
e,1721,4978,2070,1080,8381,8619,9713,5612,4484,5092,1088,0,0,0,0,0,0,0,0,0
e,3663,8465,3663,8465,9614,9081,2178,8307,2570,4375,6461,2425,0,0,0,0,0,0,0,0
e,5965,773,4317,7736,6202,542,1205,2056,2737,5621,2553,2757,0,0,0,0,0,0,0,0
b,272,9805,5933,2114,5058,9839,2454,0,0,0,0,0,0,0,0,0,0,0,0,0
b,2283,9834,587,1577,4475,2377,968,2481,2285,773,0,0,0,0,0,0,0,0,0,0
b,3390,7444,8752,7398,5990,8003,98,8752,9183,2362,2114,3131,4622,8006,0,0,0,0,0,0
e,7219,5296,4985,6773,4584,9188,5918,8276,8003,809,694,6555,9962,0,0,0,0,0,0,0
e,1548,7710,1548,7710,5116,1628,9867,0,0,0,0,0,0,0,0,0,0,0,0,0
e,2643,8847,3040,7425,5186,3794,2643,8847,2587,0,0,0,0,0,0,0,0,0,0,0
b,6797,8143,8748,8795,2173,2185,659,2377,10066,1131,7772,4622,7629,0,0,0,0,0,0,0
b,9540,1299,2114,10025,9204,9614,2148,1339,3340,5306,9898,7597,3508,2889,0,0,0,0,0,0
e,4031,5084,5587,184,3772,8311,9614,5853,4511,3000,0,0,0,0,0,0,0,0,0,0
e,6072,4455,6411,4215,7960,4107,6410,2114,2558,4798,2737,0,0,0,0,0,0,0,0,0
b,2010,4144,4081,2148,146,7427,4654,3145,0,0,0,0,0,0,0,0,0,0,0,0
b,9540,5410,9839,7678,11,9614,8382,3187,993,0,0,0,0,0,0,0,0,0,0,0
e,31,3982,7294,10174,891,9082,1442,3595,0,0,0,0,0,0,0,0,0,0,0,0
b,6797,2964,78,2377,5824,4475,6785,2924,2173,3120,0,0,0,0,0,0,0,0,0,0
e,5422,2570,2170,8405,3271,2464,10192,7878,2570,4887,4622,968,0,0,0,0,0,0,0,0
e,6352,4299,5863,7648,2032,7763,9614,3319,2274,6352,4299,0,0,0,0,0,0,0,0,0
e,8476,3335,6582,9463,5043,5499,8276,8003,6021,6456,0,0,0,0,0,0,0,0,0,0
b,3848,8820,7799,8716,1026,2377,2846,4226,2306,9497,0,0,0,0,0,0,0,0,0,0
b,9384,9307,3506,2570,5550,8752,1690,2570,3952,10066,0,0,0,0,0,0,0,0,0,0
b,5591,8466,1770,1042,9614,3390,6843,8752,9817,7961,9563,0,0,0,0,0,0,0,0,0
e,6784,9325,3253,2737,4215,2178,9293,3243,2114,9713,4081,9217,8752,4642,4205,0,0,0,0,0
e,1098,6622,6461,3131,9860,4081,7175,5980,8210,9614,2307,5613,0,0,0,0,0,0,0,0
m,4652,5354,333,8752,1680,206,5306,9819,0,0,0,0,0,0,0,0,0,0,0,0
e,196,4250,206,3176,5391,3215,816,7555,4654,9962,5306,5928,0,0,0,0,0,0,0,0
b,8004,2263,2867,1115,7590,7141,9614,2719,3390,7726,0,0,0,0,0,0,0,0,0,0
e,8543,6583,8752,3306,2570,1004,4205,8135,219,2737,2839,8437,0,0,0,0,0,0,0,0
e,4699,3793,4541,2280,8978,2570,3476,5514,99,4081,8100,10145,8752,3753,0,0,0,0,0,0
b,9142,2719,968,7165,4205,3390,4039,727,6591,0,0,0,0,0,0,0,0,0,0,0
b,7304,8948,8450,9196,5784,2377,797,2699,7302,773,0,0,0,0,0,0,0,0,0,0
e,630,9387,630,9387,7736,3390,684,8621,4205,784,7338,0,0,0,0,0,0,0,0,0
t,2362,2114,7356,3757,4467,99,4880,6891,6807,9848,4095,325,7814,3390,3882,9134,9247,4205,0,0
e,4321,5251,2114,8815,130,9444,4215,1624,0,0,0,0,0,0,0,0,0,0,0,0
e,8214,6165,2773,6555,1301,1408,9614,8775,9555,5480,4622,2311,8910,3600,0,0,0,0,0,0
m,2683,3563,5448,8752,4547,549,1216,6582,2570,8578,2114,510,9656,0,0,0,0,0,0,0
t,8460,6496,1021,7302,8240,5180,2581,5043,1048,2243,6578,0,0,0,0,0,0,0,0,0
b,7728,7275,7363,9614,8253,1125,5451,1902,0,0,0,0,0,0,0,0,0,0,0,0
e,4903,7757,8051,7068,8591,9614,4201,9614,7696,2570,5267,0,0,0,0,0,0,0,0,0
t,9384,5965,1397,6496,1070,9614,3289,8240,4622,7597,1397,3508,7788,0,0,0,0,0,0,0
e,3390,6116,2114,5345,7614,4622,7615,2377,8678,6658,6518,4622,5091,0,0,0,0,0,0,0
b,1799,7814,1550,8752,7292,5480,8566,2377,3990,743,734,773,0,0,0,0,0,0,0,0
e,1054,3673,1054,3673,3093,948,4909,0,0,0,0,0,0,0,0,0,0,0,0,0
b,5965,773,6209,6587,8002,8576,3509,9614,2307,609,8899,8196,0,0,0,0,0,0,0,0
m,968,9939,7765,2943,9211,8752,10152,9350,6225,3050,0,0,0,0,0,0,0,0,0,0
b,5965,773,3990,9614,2646,262,1109,9980,9797,9123,2570,1807,6587,0,0,0,0,0,0,0
b,9142,3169,9247,9614,5899,2570,6714,3187,4081,8899,5600,78,0,0,0,0,0,0,0,0
b,5724,321,1735,10139,2114,4127,6278,5116,6683,9614,9980,9497,0,0,0,0,0,0,0,0
b,5965,773,6115,1416,2157,4036,7356,5306,2564,2712,0,0,0,0,0,0,0,0,0,0
e,3535,3535,6382,9463,1703,5306,8664,0,0,0,0,0,0,0,0,0,0,0,0,0
b,9321,5578,1675,7320,4205,743,200,2922,9106,6375,1463,9628,0,0,0,0,0,0,0,0
